Natural_Products_Name,NP_MRD_ID,SMILES,MW,LogP,HBD,HBA,TPSA,RotBonds,FractionCSP3,Cluster_ID
"(2s,5r,6r)-6-{[(2,6-dimethoxyphenyl)(hydroxy)methylidene]amino}-3,3-dimethyl-7-oxo-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid",NP0256407,[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)C1=C(OC)C=CC=C1OC)C(O)=O,380.42,0.95,2,6,105.17,5,0.47,8159
"(9r)-14,15,16-trimethoxy-10-azatetracyclo[7.7.1.0²,⁷.0¹³,¹⁷]heptadeca-1(17),2,4,6,10,13,15-heptaen-11-ol",NP0256002,COC1=C2CC(O)=N[C@@H]3CC4=CC=CC=C4C(C(OC)=C1OC)=C23,325.36,3.49,1,4,60.28,3,0.32,8160
"(3r,4as,4bs,7s,8ar,10ar)-2-ethenyl-3,7-dihydroxy-1,4b,8,8-tetramethyl-4a,5,6,7,8a,9,10,10a-octahydro-3h-phenanthren-4-one",NP0255923,CC1=C(C=C)[C@@H](O)C(=O)[C@H]2[C@H]1CC[C@H]1C(C)(C)[C@@H](O)CC[C@]21C,318.46,3.26,2,3,57.53,1,0.75,8161
"methyl (12s,13s,15r,17s,19s)-19-hydroxy-13-[(1s)-1-hydroxyethyl]-4-methoxy-1,11-diazapentacyclo[13.3.1.0²,⁷.0⁸,¹⁸.0¹²,¹⁷]nonadeca-2,4,6,8(18)-tetraene-17-carboxylate",NP0255686,COC(=O)[C@@]12C[C@H]3C[C@H]([C@H](C)O)[C@@H]1NCCC1=C2N([C@H]3O)C2=CC(OC)=CC=C12,400.48,1.49,3,7,92.95,3,0.59,8162
"(1r,5s)-8-methyl-8-azabicyclo[3.2.1]octan-3-yl 3-hydroxy-2-(2-hydroxyphenyl)propanoate",NP0254117,CN1[C@H]2CC[C@@H]1CC(C2)OC(=O)C(CO)C1=CC=CC=C1O,305.37,1.64,2,5,70.0,4,0.59,8163
"1-[3-acetyl-2,4,6-trihydroxy-5-(2-hydroxy-3-methylbut-3-en-1-yl)phenyl]-3-methylbutan-1-one",NP0254096,CC(C)CC(=O)C1=C(O)C(CC(O)C(C)=C)=C(O)C(C(C)=O)=C1O,336.38,2.71,4,6,115.06,7,0.44,8164
"(3s,5'r,6's)-5'-ethenyl-2-hydroxy-4-methoxy-3',5',6',7',8',8'a-hexahydro-2'h-spiro[indole-3,1'-indolizin]-6'-ylmethyl (2e)-3-methoxyprop-2-enoate",NP0254020,CO\C=C\C(=O)OC[C@H]1CCC2N(CC[C@@]22C(O)=NC3=CC=CC(OC)=C23)[C@@H]1C=C,412.49,3.28,1,6,80.59,6,0.48,8165
"4',9'-dihydroxy-4'b,7',8'-trimethyl-1',3'-dioxo-5',6',8'a,9'-tetrahydrospiro[cyclopropane-1,2'-phenanthrene]-2-carbaldehyde",NP0253386,CC1=C(C)C2C(O)C=C3C(=O)C4(CC4C=O)C(=O)C(O)=C3C2(C)CC1,342.39,2.21,2,5,91.67,1,0.55,8166
"(1s,7r,12s)-7-(furan-3-yl)-12-hydroxy-9-methyl-6,16-dioxatetracyclo[8.7.0.0¹,¹⁴.0⁴,⁸]heptadeca-2,4(8),9,13-tetraene-5,15-dione",NP0253372,CC1=C2C[C@H](O)C=C3C(=O)OC[C@@]23C=CC2=C1[C@@H](OC2=O)C1=COC=C1,352.34,2.29,1,6,85.97,1,0.3,8167
"(2z,10e)-10-hydroxy-8-methoxy-17-methyl-16,18-dioxa-12-azatetracyclo[12.7.0.0⁴,⁹.0¹⁵,¹⁹]henicosa-1(21),2,7,10,14,19-hexaen-6-one",NP0252661,COC1=CC(=O)CC2\C=C/C3=CC=C4OC(C)OC4=C3CN\C=C(O)/C12,355.39,3.06,2,6,77.02,1,0.35,8168
"(1s,4as,4br,7s,8s,8ar,10s,10as)-2-ethenyl-8-(hydroxymethyl)-1,4b,8-trimethyl-4a,5,6,7,8a,9,10,10a-octahydro-4h-phenanthrene-1,7,10-triol",NP0252174,C[C@]1(O)[C@@H]2[C@@H](O)C[C@H]3[C@@](C)(CO)[C@@H](O)CC[C@]3(C)[C@H]2CC=C1C=C,336.47,2.03,4,4,80.92,2,0.8,8169
"methyl 2-[(1s,2r,4s,10s,12r,15s)-6,15-dihydroxy-10-methyl-8,14-dioxo-4-(prop-1-en-2-yl)-9,13-dioxatricyclo[10.2.1.0²,⁷]pentadec-6-en-10-yl]acetate",NP0252170,COC(=O)C[C@]1(C)C[C@H]2OC(=O)[C@H]([C@@H]2O)[C@H]2C[C@@H](CC(O)=C2C(=O)O1)C(C)=C,394.42,1.57,2,8,119.36,3,0.65,8170
"(1s,2s,3'as,5r,7'ar)-6',7'a-dimethyl-3-oxo-3',3'a-dihydro-1'h-4,6-dioxaspiro[bicyclo[3.1.0]hexane-2,2'-inden]-4'-ylmethyl acetate",NP0251672,CC(=O)OCC1=CC(C)=C[C@@]2(C)C[C@@]3(C[C@H]12)[C@@H]1O[C@@H]1OC3=O,304.34,2.12,0,5,65.13,2,0.65,8171
"(13s,15r,19r)-13-ethyl-13-hydroxy-1,11-diazapentacyclo[9.6.2.0²,⁷.0⁸,¹⁸.0¹⁵,¹⁹]nonadeca-2,4,6,8(18)-tetraen-17-one",NP0251484,CC[C@]1(O)C[C@@H]2CC(=O)N3C4=CC=CC=C4C4=C3[C@@H]2N(CC4)C1,310.4,2.75,1,4,45.47,1,0.53,8172
